,Start Station,End Station,prevStationName,Day of Week,Time,Congestion
0,방화역,화곡역,마곡역,MON,08:00,0
1,방화역,화곡역,마곡역,MON,08:10,0
2,방화역,화곡역,마곡역,MON,08:20,0
3,방화역,화곡역,마곡역,MON,08:30,0
4,방화역,화곡역,마곡역,MON,08:40,0
5,방화역,화곡역,마곡역,MON,08:50,0
6,방화역,애오개역,마곡역,MON,08:00,0
7,방화역,애오개역,마곡역,MON,08:10,0
8,방화역,애오개역,마곡역,MON,08:20,0
9,방화역,애오개역,마곡역,MON,08:30,0
10,방화역,애오개역,마곡역,MON,08:40,0
11,방화역,애오개역,마곡역,MON,08:50,0
12,방화역,군자역,마곡역,MON,08:00,0
13,방화역,군자역,마곡역,MON,08:10,0
14,방화역,군자역,마곡역,MON,08:20,0
15,방화역,군자역,마곡역,MON,08:30,0
16,방화역,군자역,마곡역,MON,08:40,0
17,방화역,군자역,마곡역,MON,08:50,0
18,방화역,상일동역,마곡역,MON,08:00,26
19,방화역,상일동역,마곡역,MON,08:10,24
20,방화역,상일동역,마곡역,MON,08:20,25
21,방화역,상일동역,마곡역,MON,08:30,25
22,방화역,상일동역,마곡역,MON,08:40,16
23,방화역,상일동역,마곡역,MON,08:50,16
24,방화역,하남검단산역,마곡역,MON,08:00,28
25,방화역,하남검단산역,마곡역,MON,08:10,27
26,방화역,하남검단산역,마곡역,MON,08:20,24
27,방화역,하남검단산역,마곡역,MON,08:30,24
28,방화역,하남검단산역,마곡역,MON,08:40,19
29,방화역,하남검단산역,마곡역,MON,08:50,17
30,방화역,마천역,마곡역,MON,08:00,29
31,방화역,마천역,마곡역,MON,08:10,27
32,방화역,마천역,마곡역,MON,08:20,26
33,방화역,마천역,마곡역,MON,08:30,22
34,방화역,마천역,마곡역,MON,08:40,21
35,방화역,마천역,마곡역,MON,08:50,20
36,여의도역,방화역,우장산역,MON,08:00,0
37,여의도역,방화역,우장산역,MON,08:10,0
38,여의도역,방화역,우장산역,MON,08:20,0
39,여의도역,방화역,우장산역,MON,08:30,0
40,여의도역,방화역,우장산역,MON,08:40,0
41,여의도역,방화역,우장산역,MON,08:50,0
42,애오개역,방화역,우장산역,MON,08:00,0
43,애오개역,방화역,우장산역,MON,08:10,0
44,애오개역,방화역,우장산역,MON,08:20,0
45,애오개역,방화역,우장산역,MON,08:30,0
46,애오개역,방화역,우장산역,MON,08:40,0
47,애오개역,방화역,우장산역,MON,08:50,0
48,왕십리역,방화역,우장산역,MON,08:00,0
49,왕십리역,방화역,우장산역,MON,08:10,0
50,왕십리역,방화역,우장산역,MON,08:20,0
51,왕십리역,방화역,우장산역,MON,08:30,0
52,왕십리역,방화역,우장산역,MON,08:40,0
53,왕십리역,방화역,우장산역,MON,08:50,0
54,군자역,방화역,우장산역,MON,08:00,0
55,군자역,방화역,우장산역,MON,08:10,0
56,군자역,방화역,우장산역,MON,08:20,0
57,군자역,방화역,우장산역,MON,08:30,0
58,군자역,방화역,우장산역,MON,08:40,0
59,군자역,방화역,우장산역,MON,08:50,0
60,강동역,방화역,우장산역,MON,08:00,0
61,강동역,방화역,우장산역,MON,08:10,0
62,강동역,방화역,우장산역,MON,08:20,0
63,강동역,방화역,우장산역,MON,08:30,0
64,강동역,방화역,우장산역,MON,08:40,0
65,강동역,방화역,우장산역,MON,08:50,0
66,상일동역,방화역,우장산역,MON,08:00,28
67,상일동역,방화역,우장산역,MON,08:10,28
68,상일동역,방화역,우장산역,MON,08:20,28
69,상일동역,방화역,우장산역,MON,08:30,41
70,상일동역,방화역,우장산역,MON,08:40,30
71,상일동역,방화역,우장산역,MON,08:50,12
72,하남검단산역,방화역,우장산역,MON,08:00,31
73,하남검단산역,방화역,우장산역,MON,08:10,36
74,하남검단산역,방화역,우장산역,MON,08:20,33
75,하남검단산역,방화역,우장산역,MON,08:30,33
76,하남검단산역,방화역,우장산역,MON,08:40,35
77,하남검단산역,방화역,우장산역,MON,08:50,18
78,마천역,방화역,우장산역,MON,08:00,31
79,마천역,방화역,우장산역,MON,08:10,26
80,마천역,방화역,우장산역,MON,08:20,31
81,마천역,방화역,우장산역,MON,08:30,38
82,마천역,방화역,우장산역,MON,08:40,35
83,마천역,방화역,우장산역,MON,08:50,21
