,Start Station,End Station,prevStationName,Day of Week,Time,Congestion
0,소요산역,인천역,중동역,MON,08:00,32
1,소요산역,인천역,중동역,MON,08:10,38
2,소요산역,인천역,중동역,MON,08:20,38
3,소요산역,인천역,중동역,MON,08:30,26
4,소요산역,인천역,중동역,MON,08:40,15
5,소요산역,인천역,중동역,MON,08:50,15
6,동두천역,부평역,중동역,MON,08:00,0
7,동두천역,부평역,중동역,MON,08:10,0
8,동두천역,부평역,중동역,MON,08:20,0
9,동두천역,부평역,중동역,MON,08:30,0
10,동두천역,부평역,중동역,MON,08:40,0
11,동두천역,부평역,중동역,MON,08:50,0
12,동두천역,인천역,중동역,MON,08:00,0
13,동두천역,인천역,중동역,MON,08:10,12
14,동두천역,인천역,중동역,MON,08:20,26
15,동두천역,인천역,중동역,MON,08:30,26
16,동두천역,인천역,중동역,MON,08:40,25
17,동두천역,인천역,중동역,MON,08:50,24
18,동두천역,인천역,중동역,MON,08:00,0
19,동두천역,인천역,중동역,MON,08:10,0
20,동두천역,인천역,중동역,MON,08:20,10
21,동두천역,인천역,중동역,MON,08:30,21
22,동두천역,인천역,중동역,MON,08:40,21
23,동두천역,인천역,중동역,MON,08:50,32
24,양주역,부평역,중동역,MON,08:00,0
25,양주역,부평역,중동역,MON,08:10,0
26,양주역,부평역,중동역,MON,08:20,0
27,양주역,부평역,중동역,MON,08:30,6
28,양주역,부평역,중동역,MON,08:40,11
29,양주역,부평역,중동역,MON,08:50,11
30,양주역,인천역,중동역,MON,08:00,32
31,양주역,인천역,중동역,MON,08:10,33
32,양주역,인천역,중동역,MON,08:20,33
33,양주역,인천역,중동역,MON,08:30,16
34,양주역,인천역,중동역,MON,08:40,0
35,양주역,인천역,중동역,MON,08:50,12
36,의정부역,인천역,중동역,MON,08:00,24
37,의정부역,인천역,중동역,MON,08:10,24
38,의정부역,인천역,중동역,MON,08:20,11
39,의정부역,인천역,중동역,MON,08:30,0
40,의정부역,인천역,중동역,MON,08:40,0
41,의정부역,인천역,중동역,MON,08:50,0
42,창동역,인천역,중동역,MON,08:00,0
43,창동역,인천역,중동역,MON,08:10,0
44,창동역,인천역,중동역,MON,08:20,0
45,창동역,인천역,중동역,MON,08:30,0
46,창동역,인천역,중동역,MON,08:40,0
47,창동역,인천역,중동역,MON,08:50,0
48,광운대역,인천역,중동역,MON,08:00,0
49,광운대역,인천역,중동역,MON,08:10,0
50,광운대역,인천역,중동역,MON,08:20,0
51,광운대역,인천역,중동역,MON,08:30,0
52,광운대역,인천역,중동역,MON,08:40,0
53,광운대역,인천역,중동역,MON,08:50,0
54,동묘앞역,인천역,중동역,MON,08:00,10
55,동묘앞역,인천역,중동역,MON,08:10,0
56,동묘앞역,인천역,중동역,MON,08:20,0
57,동묘앞역,인천역,중동역,MON,08:30,0
58,동묘앞역,인천역,중동역,MON,08:40,0
59,동묘앞역,인천역,중동역,MON,08:50,0
60,용산역,부평역,부천역,MON,08:00,15
61,용산역,부평역,부천역,MON,08:10,15
62,용산역,부평역,부천역,MON,08:20,15
63,용산역,부평역,부천역,MON,08:30,26
64,용산역,부평역,부천역,MON,08:40,26
65,용산역,부평역,부천역,MON,08:50,13
66,용산역,동인천역,부천역,MON,08:00,25
67,용산역,동인천역,부천역,MON,08:10,26
68,용산역,동인천역,부천역,MON,08:20,18
69,용산역,동인천역,부천역,MON,08:30,16
70,용산역,동인천역,부천역,MON,08:40,15
71,용산역,동인천역,부천역,MON,08:50,14
72,영등포역,인천역,중동역,MON,08:00,0
73,영등포역,인천역,중동역,MON,08:10,0
74,영등포역,인천역,중동역,MON,08:20,0
75,영등포역,인천역,중동역,MON,08:30,0
76,영등포역,인천역,중동역,MON,08:40,0
77,영등포역,인천역,중동역,MON,08:50,0
78,구로역,부평역,부천역,MON,08:00,0
79,구로역,부평역,부천역,MON,08:10,0
80,구로역,부평역,부천역,MON,08:20,0
81,구로역,부평역,부천역,MON,08:30,0
82,구로역,부평역,부천역,MON,08:40,0
83,구로역,부평역,부천역,MON,08:50,0
84,구로역,동인천역,부천역,MON,08:00,9
85,구로역,동인천역,부천역,MON,08:10,4
86,구로역,동인천역,부천역,MON,08:20,0
87,구로역,동인천역,부천역,MON,08:30,0
88,구로역,동인천역,부천역,MON,08:40,0
89,구로역,동인천역,부천역,MON,08:50,0
90,구로역,인천역,중동역,MON,08:00,0
91,구로역,인천역,중동역,MON,08:10,0
92,구로역,인천역,중동역,MON,08:20,0
93,구로역,인천역,중동역,MON,08:30,0
94,구로역,인천역,중동역,MON,08:40,0
